sec,nat,scho,town,sect,study,final
86.55,58,462,35,9,5,5
67.33,58,141,35,8,3,5
81.28,58,1151,35,8,3,5
83.83,58,1289,32,8,3,5
78.95,58,51,35,9,2,4
72.52,58,1334,23,9,5,4
80.26,58,1159,35,9,5,5
81.43,58,1832,35,9,5,5
82.26,58,2296,35,9,5,4
82.14,58,2296,35,9,5,5
84.91,58,2296,35,9,5,5
80.91,58,1953,35,9,5,4
87.11,58,333,35,8,5,5
88.65,58,2296,35,9,5,5
62.81,58,1551,35,8,5,3
74.08,58,537,35,8,3,5
70.19,58,557,35,8,5,4
67.13,58,1140,9,8,5,4
91.36,58,63,35,9,5,5
87.52,58,333,35,9,5,5
87.65,58,51,35,9,2,4
74.7,58,1281,35,9,5,4
82.27,58,1281,35,9,5,5
73.43,58,1281,35,9,5,4
79.45,58,1137,43,9,5,5
63.09,58,407,35,8,2,3
86.61,58,1281,35,9,5,4
78.67,58,462,35,8,5,4
78.92,58,1502,35,9,5,5
85.14,58,213,35,8,3,5
86.44,58,1839,35,8,5,5
74.12,58,433,35,9,3,4
73.61,58,56,35,9,5,4
70.56,58,462,35,8,5,3
93.26,58,2028,35,8,5,6
85.22,58,2233,31,9,5,4
89.43,58,524,35,9,5,6
92.3,58,1281,35,9,5,5
90.65,58,2468,35,9,5,5
85.95,58,51,35,9,2,4
77.64,58,284,35,9,5,5
82.87,58,181,35,9,5,5
68.42,58,1502,35,9,5,4
78.65,58,2111,10,9,5,5
63.75,58,2410,35,8,3,3
58.31,58,444,15,8,3,2
59.39,58,1236,35,9,5,3
64.61,58,197,7,8,2,3
75.11,58,553,35,8,3,4
85.36,58,2036,35,8,3,5
88.83,58,1159,35,9,5,5
84.83,58,1159,35,9,5,5
74.96,58,1551,35,9,5,5
73.47,58,47,35,8,3,5
87.22,58,1940,35,9,5,5
90.74,58,1940,35,9,5,5
77.96,58,1114,13,9,5,4
88.52,58,1940,35,9,5,5
94.33,58,2028,35,8,5,6
93.52,58,1832,35,9,5,6
68.86,58,1531,35,8,2,4
80.22,58,2308,35,8,5,4
81.42,58,213,35,8,3,5
90,58,333,35,8,5,5
73.67,58,2004,35,8,3,5
87.52,58,46,35,8,5,5
71.7,58,60,35,9,5,4
92.78,58,1551,35,9,5,5
92.61,58,462,35,9,5,6
80.86,58,1285,35,8,3,5
88.52,58,1219,35,9,5,6
83.65,58,1219,35,9,5,5
85.48,58,1219,35,9,5,5
94.48,58,1813,21,9,5,5
87.39,58,1219,35,9,5,5
86.17,58,1219,35,9,5,5
92.17,58,2308,35,9,5,6
90.3,58,181,35,8,5,5
68.09,58,2046,35,9,5,4
67.65,58,1893,35,9,5,4
84.64,58,1893,35,9,5,4
66.12,77,1560,35,9,3,3
60.21,58,2028,35,9,5,4
86.82,58,1832,35,9,5,5
90.65,58,1832,35,9,5,5
65.94,58,2279,35,9,5,4
70.69,58,1902,35,8,5,4
82.22,58,557,35,8,5,4
89.23,58,2421,44,9,2,5
